,movietitle,harmful,certificate,distributorstürk,keywordscontentspoint,CompanyNamesAverage,directorpoint,CastPuan,producerpoint,distributorspoint,GenreesPoint,Label,Harmful Number,CertificateEncoded,Label Yeni
389,Ask olsun,[],0,[],0.0,3.7987776268105753,0.4775930275621436,-1.0835907594166736,0.9712904987278184,0.0,4.0974473255693455,1,0,0,1
390,Can Kiriklari,[],0,"['ATV            (2018) (Turkey) (TV)', 'Atv            (2018) (Turkey) (TV)']",1.4113609148810395,1.4624617402615807,0.35227965569427977,1.2439858813397566,1.5413058861744289,3.712349106905388,5.661709170581503,1,0,0,2
391,Sessiz firtina,[],0,['Kanal D            (2007-) (Turkey) (TV)'],0.0,2.896743097418285,0.3012028206626518,-0.7007368731152759,0.8934882826681427,5.543725024021136,4.981828232776699,1,0,0,1
392,Kötü Yol,[],0,['Kanal D            (2012) (Turkey) (TV)'],0.0,3.7987776268105753,0.09380236233954364,1.6934421107410262,0.9712904987278184,6.598579112863242,7.87990043884354,1,0,0,2
393,Kasabanin incisi,[],0,[],0.0,0.5647351302783928,0.1609100265820771,-0.8345570319063753,0.0,0.0,0.0,1,0,0,2
394,Bizim Okul,[],0,['ATV            (2013) (Turkey) (TV)'],0.0,0.0,0.09395197161494197,0.9628451495785354,0.2796814557587459,4.663679199724412,4.597631851592044,1,0,0,1
395,Görgüsüzler,[],0,['ATV            (2008-) (Turkey) (TV)'],0.0,2.1482050890440902,0.09395197161494197,0.8348788314286694,0.0,4.663679199724412,4.597631851592044,1,0,0,1
396,Senden baska,[],0,['ATV            (2007) (Turkey) (TV)'],0.0,2.2827489970048656,3.2787008286107655,1.4069352846255665,1.61984453048765,4.663679199724412,5.524993205334977,1,0,0,2
397,Adini Kalbime Yazdim,[],0,[],0.7309002154727444,3.455240011073911,3.2787008286107655,-1.1989655514750341,2.2289703643794576,4.520790955211873,7.87990043884354,1,0,0,1
398,Agir roman yeni dünya,[],0,['Star TV            (2012) (Turkey) (TV)'],0.0,0.0,3.2787008286107655,1.280161677605289,0.21533968429605,5.956818276932419,5.9886738822064425,1,0,0,1
399,Gullerin Savasi,[],0,[],-0.3620362782951042,3.2206258460776915,3.2651786038745407,1.151657954279628,1.3966856823713418,0.0,7.87990043884354,1,0,0,2
400,Tarik ve Digerleri,[],0,[],0.0,0.5335127392370212,3.252425582747469,0.0,-0.3272696393057941,0.0,4.597631851592044,1,0,0,2
401,Dede Korkut - Egrek ve Segrek,[],0,['Turkish Radio & Television (TRT)            (2007) (Turkey) (all media)'],0.0,0.0,0.1425010529287778,-1.1178399571941091,0.0,3.4153287655246443,3.099476377563801,1,0,0,2
402,Adi Ask Olsun,[],0,[],0.0,0.0,0.1425010529287778,-0.9457643875001344,-0.24743608586972365,0.0,4.0974473255693455,1,0,0,2
403,Askin Bedeli,[],0,['Star TV            (2013) (Turkey) (TV)'],0.0,0.2720946543600201,0.16548159276929209,-1.4422227146949154,2.2289703643794576,5.956818276932419,7.87990043884354,1,0,0,1
404,Günahkar,[],0,['Fox TV            (2014) (Turkey) (TV)'],0.0,1.918061449937724,0.2687423729274412,-0.6026349358690961,0.0,1.862724399251212,7.87990043884354,1,0,0,2
405,Hekimoglu,[],0,['Kanal D            (2019) (Turkey) (TV)'],0.0,0.17098779142670265,0.16579788174857168,-0.9078086809233812,1.9912413699982527,6.598579112863242,5.287480223639098,1,0,0,2
406,Patron kim,[],0,[],0.0,0.0037214788986033374,0.17322367894857815,-1.2059036009101731,0.7302100756998384,0.0,4.597631851592044,1,0,0,2
407,Ögretmen,['Spoilers'],Turkey:7+,"['Fox TV            (2020) (Turkey) (TV)', 'Med Yapim            (2020) (Turkey) (TV)']",0.0,1.8609496980680376,0.18037755752228807,1.3652810481339337,2.3713288367324683,1.4486222423625248,4.782481861622334,1,1,4,3
408,Nöbet,[],0,['Show TV            (2019-) (Turkey) (TV)'],0.0,1.7389378488254337,0.20834864624602176,0.8670886150591952,0.03076230348985098,4.520790955211873,4.690588399221533,1,0,0,2
409,Yuvamdaki Dusman,[],0,['Show TV            (2018) (Turkey) (TV)'],0.6741989777957511,0.2720946543600201,0.2124079102460097,1.1869442629089482,2.2289703643794576,4.520790955211873,7.87990043884354,1,0,0,1
410,Bir dilim ask,[],0,[],3.721600079005466,0.018485496941524668,3.1877836201793412,1.2907410395088188,0.0,0.0,4.347539588580695,1,0,0,2
411,Aynadaki düsman,[],0,[],0.0,0.0,0.2323782103942591,-0.8028025345476368,0.0,0.0,3.443517902319465,1,0,0,1
412,Sokagin Çocuklari,[],0,['BluTV            (2019) (Turkey) (video) (internet)'],-0.1739061935636813,0.0,0.2622578378333411,0.0,0.0,0.6413199303701766,4.763851758360072,1,0,0,2
413,Sakarya-Firat,"['Sex&Nudity', 'Violence&Gore', 'Profanity', 'Alcohol,Drugs&Smoking', 'Frightening&IntenseScenes']",0,['Turkish Radio & Television (TRT)            (2009) (Turkey) (TV)'],0.0,2.0374908093777546,3.154276828265893,1.5247923324031094,1.157712688255924,3.4153287655246443,5.140288555577451,1,5,0,3
414,AVM Sakini,[],0,[],0.0,0.0,0.0,0.0,0.0,0.0,4.597631851592044,1,0,0,1
415,Ev Yapimi,[],0,[],0.0,0.5623057741581333,0.0,0.9297571788929372,0.0,0.0,4.597631851592044,1,0,0,1
416,GIF,[],0,[],0.0,0.0024430825480067173,0.0,-1.2551369253532658,0.0,0.0,4.347539588580695,1,0,0,1
417,Dayan Yuregim,[],0,"['Fox Network            (2017) (Turkey) (TV)', 'Fox TV            (2017) (Turkey) (TV)']",-0.3412675936685068,0.5763139139439596,0.0,1.2456833996962966,1.841528839283416,2.0156710602414982,7.87990043884354,1,0,0,2
418,Kalbim Seni Seçti,[],0,['ATV            (2011) (Turkey) (TV)'],0.0,3.1038265814848702,-0.13889381577937676,1.2915104144099818,0.8535603407307447,4.663679199724412,7.87990043884354,1,0,0,2
419,Bahar Dallari,[],0,[],0.0,0.1234434514185106,-0.13889381577937676,1.6739440580679197,1.7857326017288793,0.0,7.87990043884354,1,0,0,2
420,Acemi Müezzin,[],0,['Turkish Radio & Television (TRT)            (2009) (Turkey) (TV)'],0.0,3.3931301757901733,4.035792965749127,-0.7010413609662707,3.2516283341690664,3.4153287655246443,5.524993205334977,1,0,0,2
421,Içten Sesler Korosu,[],0,['Eflatun Film            (2019) (Turkey) (all media)'],0.0,0.007505118902155169,4.035792965749127,-1.1118318698460197,0.0,-0.6766601617072259,4.347539588580695,1,0,0,1
422,Sudan Bikmis Baliklar,[],0,['Star TV            (2012) (Turkey) (TV)'],0.0,3.455240011073911,-0.13690461549907773,-1.3087527814962587,-0.3332983941890266,5.956818276932419,4.0974473255693455,1,0,0,2
